,customer_id,age,gender,country,annual_income,spending_score,num_purchases,avg_purchase_value,membership_years,website_visits_per_month,cart_abandon_rate,churned,feedback_text,last_purchase_date
6627,6628,64,Male,USA,172065,60,27,58.57,5,18,0.29,0,The website is easy to use.,2025-09-14
5260,5261,54,Female,India,54892,95,11,41.7,0,6,0.31,0,The website is easy to use.,2025-07-21
6815,6816,23,Male,India,42238,43,13,33.6,3,23,0.93,1,Customer service was unhelpful.,2024-11-11
9461,9462,69,Male,Canada,157245,92,21,69.58,1,7,0.21,0,Love the products and fast shipping.,2025-05-27
680,681,70,Female,Canada,71946,76,17,44.13,3,6,0.47,0,Very satisfied with my purchase.,2025-09-12
9315,9316,47,Male,South Africa,25246,72,17,35.7,5,12,0.37,0,The website is easy to use.,2025-07-06
9298,9299,61,Male,Germany,99349,53,24,52.29,6,6,0.46,0,Very satisfied with my purchase.,2025-09-15
3664,3665,56,Female,France,47184,80,27,36.25,8,21,0.67,0,Very satisfied with my purchase.,2025-05-29
1661,1662,70,Female,USA,130282,42,12,55.8,1,23,0.24,0,Good quality and value for money.,2025-07-24
508,509,68,Female,UK,121436,47,34,52.2,11,4,0.35,0,Very satisfied with my purchase.,2025-08-15
166,167,56,Male,USA,129703,48,40,56.64,14,11,0.54,0,The website is easy to use.,2025-07-29
5497,5498,45,Female,Australia,104025,52,14,46.36,2,12,0.3,0,Love the products and fast shipping.,2025-05-28
8299,8300,24,Female,USA,148137,17,18,48.78,4,20,0.83,1,Shipping was too slow.,2024-11-12
1006,1007,26,Female,India,53287,54,17,45.49,5,25,0.1,0,Good quality and value for money.,2025-10-15
9739,9740,33,Male,UK,144522,90,39,65.31,12,27,0.79,0,"Great experience, will shop again!",2025-05-05
1914,1915,55,Male,France,84136,70,26,42.79,8,12,0.67,0,The website is easy to use.,2025-07-08
3494,3495,44,Female,Japan,80394,19,17,38.44,6,23,0.01,0,Very satisfied with my purchase.,2025-06-05
9633,9634,67,Female,USA,59829,35,36,42.27,14,23,0.73,0,Excellent customer service.,2025-07-31
9750,9751,68,Male,Canada,63864,35,10,46.47,2,4,0.41,1,Customer service was unhelpful.,2025-02-27
6444,6445,61,Female,USA,50799,70,32,48.19,12,16,0.23,0,"Great experience, will shop again!",2025-10-06
4990,4991,32,Female,Brazil,43696,48,12,38.07,3,7,0.35,0,Excellent customer service.,2025-06-01
2536,2537,46,Female,Australia,64440,88,30,52.36,9,27,0.98,0,Very satisfied with my purchase.,2025-06-12
1104,1105,22,Female,Brazil,59825,66,10,52.34,0,9,0.93,0,Love the products and fast shipping.,2025-06-18
3875,3876,65,Female,India,53996,62,11,34.53,0,1,0.89,0,"Great experience, will shop again!",2025-05-18
7523,7524,19,Female,India,74112,91,15,62.91,0,19,0.24,0,Very satisfied with my purchase.,2025-09-21
1752,1753,24,Female,South Africa,24704,79,19,46.45,5,26,0.29,0,Excellent customer service.,2025-06-29
5310,5311,38,Female,India,47457,18,14,35.32,5,4,0.56,0,Excellent customer service.,2025-10-13
7296,7297,61,Female,India,51108,25,10,25.89,3,13,0.09,0,Love the products and fast shipping.,2025-10-18
2916,2917,30,Male,USA,76377,32,20,31.8,6,23,0.92,0,The website is easy to use.,2025-08-12
8974,8975,19,Male,USA,118807,52,11,44.24,0,22,0.78,0,Love the products and fast shipping.,2025-07-09
5754,5755,26,Female,Canada,94350,40,8,38.55,0,12,0.38,0,Love the products and fast shipping.,2025-07-04
152,153,55,Male,UK,71462,16,29,36.55,11,30,0.7,0,Love the products and fast shipping.,2025-08-19
7690,7691,56,Female,USA,160245,34,27,49.67,8,16,0.21,0,Love the products and fast shipping.,2025-08-01
5679,5680,65,Male,USA,128323,62,37,49.61,12,29,0.23,0,Excellent customer service.,2025-05-24
3907,3908,34,Female,South Africa,39779,24,22,40.67,8,13,0.23,0,Love the products and fast shipping.,2025-05-28
9135,9136,49,Male,South Africa,68395,78,37,42.95,13,5,0.2,0,Good quality and value for money.,2025-10-04
2552,2553,40,Female,USA,92293,99,20,54.37,3,4,0.87,0,Good quality and value for money.,2025-10-17
2773,2774,49,Female,Brazil,79809,1,21,33.1,9,28,0.96,0,Good quality and value for money.,2025-05-02
6098,6099,51,Female,USA,91288,44,34,42.04,12,7,0.76,0,Love the products and fast shipping.,2025-06-21
3551,3552,18,Male,USA,81749,81,11,51.67,0,14,0.94,0,The website is easy to use.,2025-08-09
3722,3723,70,Male,Japan,127232,63,40,67.03,13,9,0.49,0,Good quality and value for money.,2025-09-30
9870,9871,70,Female,Japan,130030,47,23,63.93,6,4,0.19,0,Excellent customer service.,2025-09-23
520,521,58,Male,USA,59397,82,36,51.59,12,28,0.77,0,Excellent customer service.,2025-05-15
8033,8034,36,Female,UK,83250,57,26,56.24,8,6,0.07,0,Excellent customer service.,2025-05-24
4538,4539,44,Male,Canada,122248,63,38,53.21,12,29,0.13,0,The website is easy to use.,2025-08-18
6778,6779,49,Male,Brazil,73468,80,36,57.23,11,8,0.25,0,Excellent customer service.,2025-07-18
1822,1823,56,Female,France,38774,28,19,33.27,8,10,0.27,0,The website is easy to use.,2025-05-07
4086,4087,29,Male,USA,79475,47,16,39.34,3,22,0.4,0,Excellent customer service.,2025-08-10
6148,6149,50,Male,France,95905,56,30,52.39,10,7,0.46,0,The website is easy to use.,2025-06-16
8742,8743,32,Female,UK,71619,61,34,41.0,13,11,0.5,0,"Great experience, will shop again!",2025-09-18
9472,9473,63,Male,Canada,98598,38,14,50.47,2,14,0.23,0,Love the products and fast shipping.,2025-05-19
7741,7742,37,Male,UK,43567,23,15,32.51,5,30,0.11,1,Shipping was too slow.,2024-04-13
309,310,67,Male,UK,162555,20,36,64.93,12,25,0.54,0,Very satisfied with my purchase.,2025-09-26
7720,7721,58,Male,France,66510,69,15,39.24,2,26,0.35,0,Very satisfied with my purchase.,2025-08-05
8222,8223,57,Male,UK,143865,30,12,48.98,0,4,0.41,1,I will not be shopping here again.,2024-05-04
8656,8657,55,Female,UK,57180,61,12,35.78,1,12,0.13,1,Shipping was too slow.,2024-08-05
3599,3600,59,Male,South Africa,70556,89,16,53.01,2,14,0.38,0,The website is easy to use.,2025-05-08
3622,3623,53,Male,Australia,151146,62,42,56.95,13,29,0.82,0,Good quality and value for money.,2025-05-22
3811,3812,36,Female,Canada,126277,75,41,52.09,14,17,0.94,0,The website is easy to use.,2025-05-15
3450,3451,34,Male,Brazil,31277,2,1,33.82,0,18,0.11,1,"Poor quality, item broke after a week.",2025-01-08
4591,4592,20,Male,USA,119989,32,14,49.3,2,29,0.82,0,Excellent customer service.,2025-06-07
205,206,33,Male,India,29702,50,26,34.6,10,12,0.22,0,Very satisfied with my purchase.,2025-08-08
9840,9841,47,Female,Canada,95890,31,18,50.75,4,27,0.53,0,Excellent customer service.,2025-06-09
1135,1136,29,Male,USA,132617,47,35,50.62,11,22,0.67,0,Very satisfied with my purchase.,2025-10-02
9384,9385,68,Male,Germany,128210,99,46,67.47,15,16,0.03,0,Very satisfied with my purchase.,2025-10-15
2749,2750,23,Female,India,27554,61,9,30.66,1,2,0.36,0,Good quality and value for money.,2025-07-27
3613,3614,49,Male,UK,138753,4,7,57.23,0,25,0.76,1,The product did not match the description.,2024-11-15
305,306,68,Female,Australia,55122,44,21,45.65,6,20,0.48,0,Good quality and value for money.,2025-07-26
1849,1850,34,Male,UK,127537,47,16,58.56,3,28,0.5,0,Excellent customer service.,2025-08-10
7669,7670,41,Female,India,21002,57,8,42.97,1,9,0.54,0,The website is easy to use.,2025-08-05
1988,1989,23,Female,Canada,69659,67,17,45.46,4,12,0.23,0,Excellent customer service.,2025-07-06
3240,3241,57,Male,Australia,117878,42,32,60.54,11,2,0.97,0,Good quality and value for money.,2025-09-19
2798,2799,37,Female,Germany,44053,23,22,36.34,8,13,0.51,0,Excellent customer service.,2025-10-12
4515,4516,24,Male,India,47904,44,20,33.31,6,10,0.18,0,"Great experience, will shop again!",2025-05-23
5630,5631,42,Female,Germany,57700,85,28,42.18,8,24,0.1,0,Excellent customer service.,2025-09-23
9372,9373,59,Male,France,62138,62,10,41.94,0,30,0.35,0,"Great experience, will shop again!",2025-06-25
3109,3110,70,Male,UK,48342,61,27,51.31,9,24,0.82,0,The website is easy to use.,2025-06-03
4939,4940,68,Male,India,26696,84,34,51.02,12,7,0.94,0,Good quality and value for money.,2025-09-15
4059,4060,53,Female,USA,142782,39,14,60.48,2,20,0.74,0,"Great experience, will shop again!",2025-05-09
1987,1988,55,Female,USA,78223,49,25,54.27,7,2,0.01,0,The website is easy to use.,2025-06-06
7157,7158,64,Female,Brazil,76239,21,27,40.93,11,4,0.06,0,Excellent customer service.,2025-10-25
8874,8875,40,Male,USA,59499,48,18,35.5,5,6,0.31,0,Very satisfied with my purchase.,2025-06-01
6613,6614,47,Female,Australia,77508,1,25,34.15,10,21,0.11,0,Very satisfied with my purchase.,2025-06-16
383,384,44,Female,Japan,114141,43,9,41.44,0,21,0.73,0,Very satisfied with my purchase.,2025-10-03
5634,5635,55,Female,Japan,162547,18,12,55.92,0,18,0.3,1,"Poor quality, item broke after a week.",2025-01-08
4307,4308,64,Female,Germany,109460,79,31,61.66,9,24,0.52,0,Very satisfied with my purchase.,2025-07-31
3388,3389,33,Female,India,73686,92,34,59.82,11,1,0.68,0,Very satisfied with my purchase.,2025-10-20
3156,3157,55,Male,Germany,120514,92,40,62.12,12,29,0.82,0,Good quality and value for money.,2025-08-03
9995,9996,39,Female,France,45002,39,13,45.5,4,28,0.75,0,Excellent customer service.,2025-08-06
2727,2728,68,Female,India,29577,78,39,46.28,14,6,0.62,0,Excellent customer service.,2025-09-20
6333,6334,37,Female,France,58117,22,11,28.98,2,29,0.46,0,"Great experience, will shop again!",2025-06-10
9899,9900,53,Female,France,48243,63,24,38.92,8,6,0.95,0,Good quality and value for money.,2025-06-03
8751,8752,46,Male,USA,178644,55,40,70.93,13,18,0.08,0,Love the products and fast shipping.,2025-05-26
8302,8303,40,Male,Brazil,67227,3,20,37.93,8,6,0.08,0,Good quality and value for money.,2025-07-26
6037,6038,62,Female,India,47371,68,40,33.91,15,29,0.87,0,Good quality and value for money.,2025-10-03
3832,3833,37,Female,UK,99599,43,17,44.06,4,23,0.39,0,Good quality and value for money.,2025-08-16
8917,8918,59,Male,India,25981,38,16,33.02,4,16,0.57,0,Excellent customer service.,2025-06-26
4776,4777,60,Male,Brazil,26276,25,18,33.79,6,22,0.5,0,Excellent customer service.,2025-06-24
4276,4277,68,Male,India,78532,100,19,53.26,3,4,0.82,0,The website is easy to use.,2025-10-24
253,254,65,Male,UK,64168,19,36,30.23,15,1,0.86,1,I will not be shopping here again.,2024-10-16
7895,7896,38,Male,Canada,116177,51,40,44.47,15,15,0.75,0,Love the products and fast shipping.,2025-08-04
9590,9591,44,Female,Canada,134548,33,36,50.04,12,24,0.59,0,Excellent customer service.,2025-05-05
7288,7289,67,Male,Japan,178418,67,22,68.05,4,6,0.25,0,The website is easy to use.,2025-10-11
278,279,70,Female,India,70773,98,21,51.0,4,7,0.08,0,Good quality and value for money.,2025-06-05
3252,3253,53,Female,Brazil,72217,1,11,36.32,3,23,0.57,0,"Great experience, will shop again!",2025-10-09
2480,2481,69,Male,Japan,56775,91,17,59.0,2,5,0.44,0,Excellent customer service.,2025-08-24
289,290,46,Female,Germany,105024,100,22,68.51,4,10,0.68,0,Excellent customer service.,2025-05-09
6086,6087,66,Male,USA,48396,28,37,27.02,15,10,0.37,0,Excellent customer service.,2025-06-04
3075,3076,56,Male,India,78724,69,11,46.57,0,23,0.33,0,Very satisfied with my purchase.,2025-08-22
8123,8124,54,Female,USA,82515,20,23,38.32,9,13,0.83,0,"Great experience, will shop again!",2025-08-10
7598,7599,44,Female,France,30837,66,39,38.29,15,15,0.33,0,Good quality and value for money.,2025-09-24
6403,6404,21,Female,South Africa,26873,15,5,23.23,0,4,0.5,1,"Poor quality, item broke after a week.",2024-08-02
5089,5090,51,Male,UK,79329,12,7,43.31,1,18,0.37,1,"Poor quality, item broke after a week.",2024-05-15
7283,7284,21,Female,Germany,61482,67,16,52.3,2,6,1.0,0,The website is easy to use.,2025-10-10
9717,9718,50,Female,Canada,130968,15,33,42.63,13,8,0.18,0,Excellent customer service.,2025-10-04
8402,8403,65,Male,UK,77666,71,39,46.3,14,15,0.38,0,Excellent customer service.,2025-05-21
6121,6122,63,Male,Brazil,88422,13,18,36.84,6,3,0.71,0,Love the products and fast shipping.,2025-09-13
7754,7755,19,Female,South Africa,41184,75,12,49.31,1,4,0.82,0,Love the products and fast shipping.,2025-06-26
270,271,51,Female,Brazil,79322,56,22,54.31,5,11,0.06,0,Excellent customer service.,2025-10-08
6009,6010,56,Male,UK,81232,8,29,40.15,12,30,0.9,1,Customer service was unhelpful.,2025-01-03
4570,4571,64,Female,USA,101954,49,20,56.14,5,27,0.46,0,"Great experience, will shop again!",2025-08-04
9116,9117,54,Male,India,32206,68,38,36.56,14,13,0.93,1,Shipping was too slow.,2024-06-30
9803,9804,62,Male,Germany,103836,68,11,47.16,0,11,0.23,0,"Great experience, will shop again!",2025-09-21
2971,2972,63,Female,India,86726,98,26,50.81,6,8,0.74,0,The website is easy to use.,2025-08-11
6193,6194,70,Female,India,70718,74,36,57.13,12,27,0.59,0,Excellent customer service.,2025-06-11
8768,8769,27,Male,Canada,74620,40,11,47.39,1,12,0.76,0,Love the products and fast shipping.,2025-06-13
4207,4208,41,Male,UK,50260,53,35,38.59,14,18,0.73,0,Good quality and value for money.,2025-08-25
3218,3219,57,Male,Brazil,73116,5,16,44.39,5,7,0.17,0,Love the products and fast shipping.,2025-08-03
1391,1392,24,Female,USA,134416,6,15,47.94,4,8,0.02,0,Very satisfied with my purchase.,2025-07-25
3975,3976,32,Male,USA,62168,94,32,41.68,10,26,0.16,0,The website is easy to use.,2025-10-25
4316,4317,20,Male,USA,129045,35,12,60.21,0,6,0.62,0,Love the products and fast shipping.,2025-05-09
7959,7960,33,Male,Japan,65384,83,20,51.67,4,4,0.11,0,"Great experience, will shop again!",2025-06-23
7344,7345,66,Male,Canada,107674,75,21,61.83,4,27,0.42,0,"Great experience, will shop again!",2025-06-16
7448,7449,52,Female,Japan,153631,91,36,59.83,9,29,0.5,0,The website is easy to use.,2025-10-05
83,84,65,Female,USA,116644,43,29,53.35,10,5,0.69,0,The website is easy to use.,2025-08-01
873,874,27,Female,France,42079,62,8,46.56,0,28,0.94,0,The website is easy to use.,2025-05-05
9605,9606,37,Female,Brazil,65176,37,8,44.12,0,15,0.51,0,Excellent customer service.,2025-10-08
7635,7636,32,Male,USA,122418,61,24,58.18,5,3,0.28,1,"Poor quality, item broke after a week.",2024-09-28
4557,4558,57,Male,USA,89964,36,17,43.47,5,25,0.68,0,Excellent customer service.,2025-09-28
4500,4501,31,Female,India,22204,4,14,34.6,5,17,0.25,1,Shipping was too slow.,2024-05-06
4647,4648,21,Male,India,72689,89,14,42.53,0,16,0.63,0,Excellent customer service.,2025-06-30
2038,2039,58,Female,Australia,54456,25,12,28.88,3,4,0.31,0,The website is easy to use.,2025-05-03
9694,9695,53,Female,India,61642,96,18,58.08,3,4,0.38,0,"Great experience, will shop again!",2025-10-18
6909,6910,41,Female,UK,122886,5,25,39.21,9,10,0.47,0,Very satisfied with my purchase.,2025-08-04
2450,2451,42,Male,USA,103859,4,30,51.0,11,21,0.0,0,Good quality and value for money.,2025-09-28
3954,3955,38,Female,Brazil,61479,5,30,26.66,13,20,0.9,0,Love the products and fast shipping.,2025-05-30
2329,2330,32,Female,USA,141438,28,26,60.24,8,22,0.11,0,The website is easy to use.,2025-07-08
9124,9125,53,Female,UK,178464,29,31,62.77,9,14,0.13,0,Excellent customer service.,2025-09-18
7044,7045,42,Female,Germany,97043,29,20,35.78,5,18,0.85,0,"Great experience, will shop again!",2025-10-25
5042,5043,45,Male,India,64098,95,27,44.03,6,19,0.92,0,The website is easy to use.,2025-05-03
9364,9365,23,Male,UK,89990,24,13,35.4,2,5,0.41,0,Very satisfied with my purchase.,2025-09-01
4746,4747,47,Female,USA,174778,2,25,49.87,7,22,0.26,0,Very satisfied with my purchase.,2025-06-12
9367,9368,49,Male,India,48760,63,9,49.55,1,11,0.37,0,The website is easy to use.,2025-09-03
9402,9403,26,Male,USA,41698,97,29,50.02,8,16,0.07,0,The website is easy to use.,2025-09-05
6491,6492,39,Female,India,55916,7,18,39.19,7,27,0.74,0,Good quality and value for money.,2025-06-10
6637,6638,48,Male,USA,108836,86,42,58.76,14,12,0.35,0,Very satisfied with my purchase.,2025-09-19
7225,7226,51,Male,South Africa,94950,21,14,46.61,4,5,0.21,0,"Great experience, will shop again!",2025-05-18
2401,2402,44,Male,Australia,82664,1,32,43.79,13,1,0.46,0,The website is easy to use.,2025-07-26
5520,5521,56,Female,France,24255,6,13,17.54,5,7,0.4,1,The product did not match the description.,2023-11-05
1216,1217,65,Male,South Africa,64885,2,21,32.5,9,22,0.49,0,Excellent customer service.,2025-07-05
8695,8696,50,Female,USA,151016,47,37,58.04,12,24,0.61,0,The website is easy to use.,2025-05-08
6020,6021,45,Female,South Africa,30770,35,33,26.9,13,9,0.45,0,The website is easy to use.,2025-10-27
6865,6866,52,Female,Australia,115900,86,39,59.55,12,15,0.84,0,Excellent customer service.,2025-09-13
1064,1065,36,Female,Brazil,41528,6,12,34.94,5,20,0.27,0,The website is easy to use.,2025-05-20
3786,3787,18,Male,South Africa,63250,16,6,44.72,0,17,0.8,0,The website is easy to use.,2025-08-08
4410,4411,45,Female,USA,128115,49,20,46.89,5,22,0.38,0,The website is easy to use.,2025-07-11
6859,6860,43,Female,USA,50201,88,17,41.36,2,6,0.82,0,Good quality and value for money.,2025-10-26
6760,6761,45,Male,India,31174,46,17,30.62,6,25,0.86,0,Very satisfied with my purchase.,2025-07-09
5523,5524,31,Female,Japan,120894,11,9,40.29,0,8,0.08,0,The website is easy to use.,2025-07-07
5996,5997,41,Female,Australia,137053,82,41,55.89,13,18,0.94,0,Good quality and value for money.,2025-08-08
8833,8834,19,Male,UK,129912,24,9,50.6,0,13,0.99,1,"Poor quality, item broke after a week.",2025-03-28
5888,5889,56,Female,UK,164294,63,14,74.44,0,30,0.33,0,Love the products and fast shipping.,2025-05-27
2161,2162,57,Female,Japan,84006,5,26,37.2,11,10,0.97,0,The website is easy to use.,2025-05-09
3008,3009,62,Female,Brazil,56606,67,31,37.23,11,12,0.98,0,"Great experience, will shop again!",2025-05-12
1105,1106,65,Female,USA,72489,50,22,54.35,7,13,0.68,0,Good quality and value for money.,2025-06-15
6654,6655,55,Female,USA,131202,13,27,44.71,9,12,0.91,0,"Great experience, will shop again!",2025-07-08
692,693,29,Male,South Africa,42538,68,22,49.46,6,8,0.26,0,Very satisfied with my purchase.,2025-05-18
9957,9958,60,Female,USA,165498,69,43,64.99,13,28,0.36,0,Love the products and fast shipping.,2025-10-26
4956,4957,37,Female,UK,130456,99,20,61.87,1,29,0.62,0,Love the products and fast shipping.,2025-09-29
6597,6598,52,Male,UK,63026,45,10,33.27,0,14,0.48,0,"Great experience, will shop again!",2025-06-07
8480,8481,18,Female,USA,122170,17,8,53.71,0,11,0.89,1,Difficult to navigate the website.,2024-08-04
4369,4370,36,Male,USA,149469,58,19,61.51,2,25,0.13,0,"Great experience, will shop again!",2025-06-27
2765,2766,37,Male,Australia,94313,82,37,58.04,12,18,0.54,0,Very satisfied with my purchase.,2025-08-25
3929,3930,41,Male,Canada,108919,74,28,48.41,7,12,0.21,0,Excellent customer service.,2025-08-04
7134,7135,61,Male,UK,132751,83,37,64.88,10,19,0.71,0,Very satisfied with my purchase.,2025-08-14
8735,8736,38,Male,USA,132997,26,13,59.41,1,3,0.03,0,Love the products and fast shipping.,2025-05-07
7530,7531,50,Female,Australia,98578,41,34,51.61,12,8,0.31,0,Love the products and fast shipping.,2025-09-29
7528,7529,47,Male,Australia,155599,61,41,59.42,13,22,0.84,0,Very satisfied with my purchase.,2025-05-28
628,629,63,Female,Brazil,37587,7,3,30.27,1,23,0.29,0,Very satisfied with my purchase.,2025-07-11
2451,2452,50,Female,Brazil,68022,51,27,49.27,8,16,0.3,0,Love the products and fast shipping.,2025-06-24
6239,6240,57,Female,Brazil,46910,52,36,37.69,13,23,0.12,0,Excellent customer service.,2025-06-25
7012,7013,48,Female,Germany,154674,7,15,53.54,2,15,0.35,1,The product did not match the description.,2024-04-09
3824,3825,27,Female,USA,83415,60,28,45.12,9,7,0.01,0,"Great experience, will shop again!",2025-10-17
8977,8978,41,Female,Brazil,76976,33,15,37.15,3,1,0.88,0,Good quality and value for money.,2025-08-01
2652,2653,29,Female,Germany,85204,96,25,63.29,6,23,0.86,0,Very satisfied with my purchase.,2025-10-25
9107,9108,40,Female,UK,87182,44,29,55.99,10,21,0.13,0,The website is easy to use.,2025-07-04
3743,3744,30,Female,France,35875,40,23,28.37,8,27,0.13,0,The website is easy to use.,2025-08-06
2176,2177,55,Male,USA,145131,91,46,63.88,15,13,0.56,0,Good quality and value for money.,2025-08-01
9906,9907,66,Female,Japan,105655,58,14,55.3,1,29,0.12,0,Excellent customer service.,2025-09-26
9263,9264,41,Female,USA,71981,54,37,35.39,13,21,0.54,0,Good quality and value for money.,2025-05-03
3318,3319,31,Male,Japan,59783,94,25,60.5,7,8,0.65,0,Excellent customer service.,2025-06-26
6343,6344,50,Male,India,60290,85,34,41.22,11,11,0.29,0,Very satisfied with my purchase.,2025-10-15
2787,2788,33,Female,India,31954,100,37,39.33,12,3,0.1,0,"Great experience, will shop again!",2025-06-10
4105,4106,62,Male,Canada,116082,83,16,69.67,0,28,0.58,0,Good quality and value for money.,2025-07-16
6355,6356,23,Female,India,25656,2,5,31.13,2,27,0.11,1,The product did not match the description.,2024-08-30
1676,1677,65,Female,Germany,76345,80,42,59.15,15,1,0.22,0,"Great experience, will shop again!",2025-10-27
3947,3948,51,Male,Brazil,94826,14,16,51.68,5,25,0.85,1,Shipping was too slow.,2023-11-14
4444,4445,26,Male,USA,59624,35,7,41.26,0,14,0.17,0,Love the products and fast shipping.,2025-06-09
2936,2937,31,Male,USA,140816,66,37,56.64,12,9,0.99,0,Excellent customer service.,2025-09-08
9005,9006,23,Male,Brazil,44350,74,11,37.86,1,25,0.06,0,"Great experience, will shop again!",2025-07-20
7766,7767,45,Male,Brazil,71352,98,39,60.18,13,1,0.81,0,Excellent customer service.,2025-07-17
5722,5723,61,Female,France,70749,84,15,55.6,2,15,0.47,0,"Great experience, will shop again!",2025-06-18
7441,7442,57,Female,South Africa,50295,30,29,32.75,12,30,0.28,0,"Great experience, will shop again!",2025-05-12
2503,2504,61,Female,Germany,60007,79,26,50.02,7,9,0.7,0,Very satisfied with my purchase.,2025-08-03
8482,8483,63,Male,UK,131410,1,13,38.47,3,6,0.88,0,Excellent customer service.,2025-07-07
2369,2370,23,Female,Germany,96064,44,12,49.82,1,15,0.24,0,The website is easy to use.,2025-08-27
4967,4968,64,Male,UK,137254,92,22,71.23,2,23,0.9,0,Love the products and fast shipping.,2025-08-06
5883,5884,44,Female,Germany,135934,35,28,57.56,9,21,0.57,0,Love the products and fast shipping.,2025-09-30
2217,2218,43,Female,Canada,68238,77,23,51.48,6,10,0.55,0,"Great experience, will shop again!",2025-10-02
5847,5848,65,Male,Japan,57636,34,38,38.12,15,7,0.81,1,The product did not match the description.,2024-01-27
2218,2219,19,Female,Canada,68080,30,6,45.8,0,5,0.09,0,Good quality and value for money.,2025-10-15
3326,3327,62,Female,France,87548,51,12,37.91,0,7,0.94,0,"Great experience, will shop again!",2025-08-09
6733,6734,67,Male,UK,107864,82,42,64.96,14,20,0.58,0,"Great experience, will shop again!",2025-10-16
3583,3584,50,Female,India,27214,20,10,31.17,3,30,0.52,0,"Great experience, will shop again!",2025-08-27
9824,9825,69,Male,Australia,148131,54,22,53.82,4,6,0.57,0,Very satisfied with my purchase.,2025-10-18
3619,3620,45,Male,USA,100208,79,16,62.18,2,27,0.48,0,Good quality and value for money.,2025-05-18
7707,7708,33,Male,USA,60954,6,16,26.78,6,3,0.87,1,I will not be shopping here again.,2025-01-18
6432,6433,67,Male,Brazil,43112,90,29,51.05,9,22,0.69,0,Very satisfied with my purchase.,2025-07-18
3115,3116,32,Female,India,28352,35,20,42.02,8,16,0.19,0,Love the products and fast shipping.,2025-07-16
85,86,67,Male,Australia,107733,67,34,60.94,10,30,0.45,0,The website is easy to use.,2025-06-12
5973,5974,18,Male,India,33061,48,7,37.54,0,18,0.27,0,Excellent customer service.,2025-08-02
2801,2802,40,Male,Australia,96955,53,24,52.17,6,14,0.24,0,Good quality and value for money.,2025-10-21
3671,3672,36,Female,UK,59198,47,27,39.02,9,11,0.44,0,Very satisfied with my purchase.,2025-09-28
3667,3668,23,Male,France,71476,24,9,32.83,2,26,0.41,0,"Great experience, will shop again!",2025-06-26
9794,9795,22,Male,UK,117059,4,7,49.44,0,20,0.72,0,The website is easy to use.,2025-05-23
5158,5159,68,Female,USA,121738,70,25,48.89,5,20,0.53,0,Love the products and fast shipping.,2025-09-23
5725,5726,21,Male,UK,57722,8,9,41.22,2,3,0.76,0,Excellent customer service.,2025-06-16
4590,4591,55,Female,UK,123151,97,35,57.99,9,21,0.18,0,"Great experience, will shop again!",2025-05-30
2019,2020,68,Male,Canada,96778,56,36,55.97,12,6,0.45,0,Good quality and value for money.,2025-09-21
7831,7832,42,Male,Australia,112574,46,14,58.02,2,5,0.86,1,I will not be shopping here again.,2024-07-06
2525,2526,39,Male,USA,89179,4,20,32.46,7,14,0.27,1,Difficult to navigate the website.,2023-11-20
8286,8287,33,Male,USA,62471,57,11,34.3,0,25,0.92,0,"Great experience, will shop again!",2025-08-20
9206,9207,59,Male,India,72723,33,21,43.88,6,29,0.08,0,"Great experience, will shop again!",2025-07-05
3212,3213,33,Female,Canada,41172,52,30,46.25,12,22,0.1,0,Love the products and fast shipping.,2025-08-20
519,520,47,Female,India,40830,61,17,34.5,5,29,0.28,0,Excellent customer service.,2025-05-30
5366,5367,35,Male,India,53497,95,38,51.09,12,29,0.86,0,Very satisfied with my purchase.,2025-10-04
6762,6763,45,Male,France,30995,41,8,39.67,0,18,1.0,1,The product did not match the description.,2025-03-25
2895,2896,52,Male,Germany,109552,13,10,47.41,2,24,0.82,0,"Great experience, will shop again!",2025-05-10
244,245,57,Female,Canada,97705,34,20,45.61,6,19,0.13,0,The website is easy to use.,2025-06-04
5930,5931,32,Male,India,72685,95,21,56.29,3,7,0.37,0,Excellent customer service.,2025-05-09
4714,4715,47,Male,Japan,144739,40,18,55.48,4,3,0.33,0,Very satisfied with my purchase.,2025-10-05
9567,9568,64,Male,South Africa,54326,25,15,38.36,4,19,0.24,1,Shipping was too slow.,2023-11-24
3425,3426,22,Male,USA,69769,23,11,39.49,2,7,0.91,1,Customer service was unhelpful.,2025-01-07
6931,6932,49,Female,Australia,171120,66,22,74.97,3,7,0.01,0,Good quality and value for money.,2025-06-28
6720,6721,58,Male,India,71749,80,11,55.44,0,1,0.19,0,The website is easy to use.,2025-08-19
7410,7411,41,Male,USA,61571,77,26,51.2,7,3,0.17,0,"Great experience, will shop again!",2025-10-18
6177,6178,55,Female,Brazil,37468,33,37,41.31,15,4,0.63,1,The product did not match the description.,2024-01-25
7250,7251,68,Male,Germany,85215,2,31,30.37,12,13,0.96,0,Excellent customer service.,2025-08-21
5509,5510,27,Male,India,51936,97,14,58.46,0,18,0.42,0,The website is easy to use.,2025-09-02
2001,2002,20,Male,Brazil,31622,68,11,30.21,1,29,0.17,0,Very satisfied with my purchase.,2025-09-22
885,886,19,Female,UK,67740,22,4,41.85,0,17,0.36,0,The website is easy to use.,2025-09-19
869,870,23,Female,USA,41835,36,5,33.54,0,9,0.49,0,"Great experience, will shop again!",2025-09-11
